,plus_code,place_name,subtype,masks,limited_entry,early_close,has_early,early_hours,delivery,has_pt,has_live,place_id
127,"6J86+F4 North Hollywood, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
128,"3MWR+XR Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
129,"2MRQ+VW Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
130,"3P28+G3 Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
131,"2MGR+2V Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
132,"3P4H+RP Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
133,"XMQQ+3M Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
134,"4Q4X+4X Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
135,"XPVG+JJ Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
136,"WMVC+JP Inglewood, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
137,"2QRV+CQ Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
138,"WMHQ+MP Los Angeles, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
139,"CG7H+JM Santa Clarita, California, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
140,"2G83+88 Santa Monica, California, USA",Fresh+Food+Market,grocery store,1,1,0,1,"[[true,1,8,9],[true,1,8,9],[true,1,8,9],[true,1,8,9],[true,1,8,9],[false,,,],[false,,,]]",1,0,0,
141,"7F47+C4 Northridge, Los Angeles, CA, USA",Galleria+Market,korean,0,0,1,0,,0,1,1,
